# BBN prediction of the primordial abundances (He-4 and Deuterium) as a function of
# 1)the baryon density $\Omega_b h^2$ and 
# 2)the number of extra relativistic degrees of freedom $\Delta N$
# 
# If $\Delta N=0$, then $N_{eff} = 3.0440$ because of QED effects and Incomplete Neurino decoupling (arXiv:2008.01074).

#  ombh2   DeltaN    Yp    

52 25

0.011000 0.500000 0.244595
0.012000 0.500000 0.245599
0.013000 0.500000 0.246473
0.014000 0.500000 0.247269
0.015000 0.500000 0.248003
0.016000 0.500000 0.248690
0.017000 0.500000 0.249311
0.018000 0.500000 0.249866
0.019000 0.500000 0.250412
0.020000 0.500000 0.250925
0.020200 0.500000 0.251015
0.020400 0.500000 0.251120
0.020600 0.500000 0.251223
0.020800 0.500000 0.251304
0.021000 0.500000 0.251407
0.021200 0.500000 0.251495
0.021400 0.500000 0.251579
0.021600 0.500000 0.251670
0.021800 0.500000 0.251769
0.022000 0.500000 0.251860
0.022200 0.500000 0.251936
0.022400 0.500000 0.252022
0.022600 0.500000 0.252110
0.022800 0.500000 0.252188
0.023000 0.500000 0.252276
0.023200 0.500000 0.252366
0.023400 0.500000 0.252460
0.023600 0.500000 0.252514
0.023800 0.500000 0.252618
0.024000 0.500000 0.252667
0.025000 0.500000 0.253064
0.026000 0.500000 0.253447
0.027000 0.500000 0.253780
0.028000 0.500000 0.254116
0.029000 0.500000 0.254439
0.030000 0.500000 0.254772
0.031000 0.500000 0.255062
0.032000 0.500000 0.255351
0.033000 0.500000 0.255633
0.034000 0.500000 0.255909
0.035000 0.500000 0.256172
0.036000 0.500000 0.256417
0.037000 0.500000 0.256653
0.038000 0.500000 0.256901
0.039000 0.500000 0.257122
0.040000 0.500000 0.257362
0.005000 0.750000 0.236166
0.006000 0.750000 0.239389
0.007000 0.750000 0.241778
0.008000 0.750000 0.243669
0.009000 0.750000 0.245227
0.010000 0.750000 0.246533
0.011000 0.750000 0.247686
0.012000 0.750000 0.248654
0.013000 0.750000 0.249570
0.014000 0.750000 0.250359
0.015000 0.750000 0.251094
0.016000 0.750000 0.251760
0.017000 0.750000 0.252390
0.018000 0.750000 0.252963
0.019000 0.750000 0.253496
0.020000 0.750000 0.254009
0.020200 0.750000 0.254111
0.020400 0.750000 0.254212
0.020600 0.750000 0.254293
0.020800 0.750000 0.254406
0.021000 0.750000 0.254497
0.021200 0.750000 0.254580
0.021400 0.750000 0.254671
0.021600 0.750000 0.254768
0.021800 0.750000 0.254850
0.022000 0.750000 0.254947
0.022200 0.750000 0.255027
0.022400 0.750000 0.255104
0.022600 0.750000 0.255196
0.022800 0.750000 0.255282
0.023000 0.750000 0.255361
0.023200 0.750000 0.255451
0.023400 0.750000 0.255522
0.023600 0.750000 0.255608
0.023800 0.750000 0.255694
0.024000 0.750000 0.255763
0.025000 0.750000 0.256161
0.026000 0.750000 0.256530
0.027000 0.750000 0.256865
0.028000 0.750000 0.257215
0.029000 0.750000 0.257546
0.030000 0.750000 0.257849
0.031000 0.750000 0.258163
0.032000 0.750000 0.258443
0.033000 0.750000 0.258724
0.034000 0.750000 0.258973
0.035000 0.750000 0.259247
0.036000 0.750000 0.259504
0.037000 0.750000 0.259744
0.038000 0.750000 0.259980
0.039000 0.750000 0.260205
0.040000 0.750000 0.260444
0.005000 1.000000 0.239042
0.006000 1.000000 0.242290
0.007000 1.000000 0.244711
0.008000 1.000000 0.246632
0.009000 1.000000 0.248194
0.010000 1.000000 0.249508
0.011000 1.000000 0.250643
0.012000 1.000000 0.251656
0.013000 1.000000 0.252549
0.014000 1.000000 0.253341
0.015000 1.000000 0.254078
0.016000 1.000000 0.254765
0.017000 1.000000 0.255374
0.018000 1.000000 0.255960
0.019000 1.000000 0.256495
0.020000 1.000000 0.257005
0.020200 1.000000 0.257100
0.020400 1.000000 0.257197
0.020600 1.000000 0.257278
0.020800 1.000000 0.257388
0.021000 1.000000 0.257482
0.021200 1.000000 0.257566
0.021400 1.000000 0.257656
0.021600 1.000000 0.257748
0.021800 1.000000 0.257839
0.022000 1.000000 0.257938
0.022200 1.000000 0.258023
0.022400 1.000000 0.258102
0.022600 1.000000 0.258180
0.022800 1.000000 0.258255
0.023000 1.000000 0.258365
0.023200 1.000000 0.258440
0.023400 1.000000 0.258520
0.023600 1.000000 0.258609
0.023800 1.000000 0.258679
0.024000 1.000000 0.258756
0.025000 1.000000 0.259135
0.026000 1.000000 0.259509
0.027000 1.000000 0.259862
0.028000 1.000000 0.260198
0.029000 1.000000 0.260521
0.030000 1.000000 0.260840
0.031000 1.000000 0.261129
0.032000 1.000000 0.261431
0.033000 1.000000 0.261699
0.034000 1.000000 0.261966
0.035000 1.000000 0.262228
0.036000 1.000000 0.262494
0.037000 1.000000 0.262728
0.038000 1.000000 0.262975
0.039000 1.000000 0.263200
0.040000 1.000000 0.263426
0.005000 1.500000 0.244514
0.006000 1.500000 0.247864
0.007000 1.500000 0.250325
0.008000 1.500000 0.252264
0.009000 1.500000 0.253841
0.010000 1.500000 0.255169
0.011000 1.500000 0.256336
0.012000 1.500000 0.257337
0.013000 1.500000 0.258220
0.014000 1.500000 0.259039
0.015000 1.500000 0.259783
0.016000 1.500000 0.260457
0.017000 1.500000 0.261079
0.018000 1.500000 0.261661
0.019000 1.500000 0.262208
0.020000 1.500000 0.262696
0.020200 1.500000 0.262802
0.020400 1.500000 0.262899
0.020600 1.500000 0.262994
0.020800 1.500000 0.263076
0.021000 1.500000 0.263189
0.021200 1.500000 0.263263
0.021400 1.500000 0.263366
0.021600 1.500000 0.263447
0.021800 1.500000 0.263529
0.022000 1.500000 0.263630
0.022200 1.500000 0.263722
0.022400 1.500000 0.263803
0.022600 1.500000 0.263881
0.022800 1.500000 0.263984
0.023000 1.500000 0.264053
0.023200 1.500000 0.264139
0.023400 1.500000 0.264212
0.023600 1.500000 0.264301
0.023800 1.500000 0.264377
0.024000 1.500000 0.264457
0.025000 1.500000 0.264849
0.026000 1.500000 0.265210
0.027000 1.500000 0.265554
0.028000 1.500000 0.265900
0.029000 1.500000 0.266228
0.030000 1.500000 0.266518
0.031000 1.500000 0.266820
0.032000 1.500000 0.267124
0.033000 1.500000 0.267394
0.034000 1.500000 0.267665
0.035000 1.500000 0.267929
0.036000 1.500000 0.268181
0.037000 1.500000 0.268422
0.038000 1.500000 0.268652
0.039000 1.500000 0.268882
0.040000 1.500000 0.269103
0.005000 2.000000 0.249690
0.006000 2.000000 0.253066
0.007000 2.000000 0.255593
0.008000 2.000000 0.257559
0.009000 2.000000 0.259173
0.010000 2.000000 0.260519
0.011000 2.000000 0.261682
0.012000 2.000000 0.262690
0.013000 2.000000 0.263597
0.014000 2.000000 0.264398
0.015000 2.000000 0.265139
0.016000 2.000000 0.265824
0.017000 2.000000 0.266461
0.018000 2.000000 0.267027
0.019000 2.000000 0.267570
0.020000 2.000000 0.268088
0.020200 2.000000 0.268181
0.020400 2.000000 0.268271
0.020600 2.000000 0.268367
0.020800 2.000000 0.268458
0.021000 2.000000 0.268548
0.021200 2.000000 0.268638
0.021400 2.000000 0.268733
0.021600 2.000000 0.268819
0.021800 2.000000 0.268921
0.022000 2.000000 0.269004
0.022200 2.000000 0.269084
0.022400 2.000000 0.269176
0.022600 2.000000 0.269256
0.022800 2.000000 0.269348
0.023000 2.000000 0.269437
0.023200 2.000000 0.269514
0.023400 2.000000 0.269602
0.023600 2.000000 0.269684
0.023800 2.000000 0.269757
0.024000 2.000000 0.269836
0.025000 2.000000 0.270211
0.026000 2.000000 0.270585
0.027000 2.000000 0.270934
0.028000 2.000000 0.271284
0.029000 2.000000 0.271588
0.030000 2.000000 0.271900
0.031000 2.000000 0.272184
0.032000 2.000000 0.272477
0.033000 2.000000 0.272756
0.034000 2.000000 0.273024
0.035000 2.000000 0.273294
0.036000 2.000000 0.273535
0.037000 2.000000 0.273764
0.038000 2.000000 0.274013
0.039000 2.000000 0.274233
0.040000 2.000000 0.274465
0.005000 2.500000 0.254531
0.006000 2.500000 0.258018
0.007000 2.500000 0.260574
0.008000 2.500000 0.262579
0.009000 2.500000 0.264201
0.010000 2.500000 0.265558
0.011000 2.500000 0.266718
0.012000 2.500000 0.267755
0.013000 2.500000 0.268657
0.014000 2.500000 0.269478
0.015000 2.500000 0.270228
0.016000 2.500000 0.270898
0.017000 2.500000 0.271530
0.018000 2.500000 0.272122
0.019000 2.500000 0.272638
0.020000 2.500000 0.273162
0.020200 2.500000 0.273259
0.020400 2.500000 0.273336
0.020600 2.500000 0.273452
0.020800 2.500000 0.273535
0.021000 2.500000 0.273625
